ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
44253,32101,4,Jasmin Melvins,42.0,29292092.0,Developer,11381.825,1003.4854166666668,5.0,5.0,15.0,3.0,"credit-builder loan,mortgage loan,not specified",8.0,20.0,11.06,4.0,Standard,256.61,32.20390375698953,313.0,Yes,14.887240780455969,17.671549932581335,Low_spent_Small_value_payments,251.45997236612385,Standard
72085,41953,8,Poornimai,46.0,943924350.0,Scientist,19267.27,1374.605833333333,10.0,8.0,25.0,6.0,"home equity loan,auto loan,payday loan,not specified,auto loan,not specified",33.0,21.0,18.7,9.0,Bad,3777.55,27.66410510537673,130.0,Yes,78.95482525642049,14.840035799013652,High_spent_Small_value_payments,253.4856221964669,Poor
131351,23452,6,Andreac,37.0,212610276.0,Manager,35862.37,3172.5308333333337,4.0,2.0,7.0,2.0,"personal loan,personal loan",4.0,2.0,1.74,4.0,Good,546.87,24.34380718086731,201.0,No,51.64576548301262,21.38091449690023,High_spent_Medium_value_payments,441.70214137884216,Good
98617,16466,8,Andreax,41.0,302673713.0,Manager,73366.36,5950.863333333334,8.0,9.0,27.0,8.0,"home equity loan,payday loan,personal loan,personal loan,not specified,payday loan,credit-builder loan,mortgage loan",49.0,17.0,23.68,11.0,Bad,4029.36,23.42563602982479,65.0,Yes,285.3685402526143,47.54179060611907,High_spent_Small_value_payments,341.69307014426533,Good
79722,47617,1,Muhammad Subarkahy,40.0,685806053.0,Musician,17844.81,1309.0675,6.0,5.0,23.0,6.0,"home equity loan,debt consolidation loan,not specified,home equity loan,not specified,credit-builder loan",20.0,17.0,27.47,7.0,Bad,3962.26,31.65398714088725,29.0,Yes,54.95751568179575,33.658623757734,Low_spent_Small_value_payments,253.83660298486808,Standard
61306,14512,5,Ju-min Parkg,23.0,328935711.0,Entrepreneur,80411.04000000001,6694.920000000001,8.0,4.0,11.0,1.0,payday loan,11.0,10.0,5.71,2.0,Good,1413.55,25.21557972379473,187.0,No,65.7390498502761,57.04056937852865,Low_spent_Medium_value_payments,634.9788773480882,Standard
104544,23451,7,Kentaro Sugiyamaj,42.0,822496874.0,Mechanic,16955.24,1634.523386546429,7.0,5.0,19.0,2.0,"not specified,debt consolidation loan",11.0,20.0,19.2,4.0,Standard,714.71,29.13368861814801,215.0,NM,84.64285174667768,18.318780294860552,Low_spent_Large_value_payments,270.58158581969263,Standard
8958,29327,1,Carewl,52.0,698981498.0,Doctor,32663.41,2879.9508333333333,1.0,5.0,3.0,4.0,"personal loan,mortgage loan,not specified,home equity loan",3.0,5.0,1.28,1.0,Good,1067.3,32.18554015803672,196.0,No,55.40536573947087,39.11311135470283,High_spent_Large_value_payments,433.4766062391597,Standard
128255,46917,6,Alister Bulll,40.0,230687913.0,Developer,60515.32,5148.943333333334,7.0,6.0,5.0,1.0,credit-builder loan,7.0,8.0,6.35,7.0,Good,1357.57,32.21033532562418,357.0,No,34.489544685295726,98.51490811488968,High_spent_Large_value_payments,593.2841950089887,Good
122626,1926,5,Virkiw,35.0,52065984.0,Lawyer,7957.91,563.1591666666667,3.0,3.0,17.0,5.0,"personal loan,mortgage loan,mortgage loan,personal loan,not specified",23.0,17.0,10.13,4.0,Standard,818.5,22.32079195558132,120.0,Yes,31.461448390614915,16.04162444749442,High_spent_Small_value_payments,255.6617472187424,Standard
52129,50476,8,Poornimar,26.0,418536185.0,Developer,30827.58,2426.264717820333,5.0,4.0,6.0,0.0,No Data,22.0,16.0,0.65,4.0,Good,778.02,30.054993756931715,321.0,No,384.7002821796678,34.45501874625479,High_spent_Medium_value_payments,496.64148125374527,Good
33072,42949,7,Richard Leongf,39.0,566800785.0,Lawyer,37756.85,2865.4041666666667,3.0,4.0,11.0,3.0,"student loan,credit-builder loan,debt consolidation loan",11.0,12.0,9.31,0.0,Good,352.49,37.99089050880836,400.0,No,83.95989215793658,42.45905175914047,Low_spent_Small_value_payments,238.3123543481564,Good
128598,36400,1,Frewy,19.0,80353013.0,Musician,36938.82,2782.235,8.0,6.0,13.0,5.0,"credit-builder loan,student loan,home equity loan,personal loan,auto loan",22.0,12.0,6.0600000000000005,7.0,Standard,771.6,26.03330641150612,139.0,Yes,112.27276566418269,20.29687608090427,High_spent_Small_value_payments,369.4271410239109,Standard
50446,17301,5,Jasonz,34.0,861884379.0,Scientist,45345.12,3737.76,8.0,7.0,19.0,5.0,"student loan,credit-builder loan,student loan,not specified,home equity loan",30.0,17.0,27.45,11.0,Bad,3794.13,35.17017632523504,9.0,Yes,142.0302559038314,60.34311728363458,High_spent_Small_value_payments,303.5963033445118,Poor
133837,8446,8,Calluse,37.0,820013614.0,Developer,21085.67,1919.1391666666664,5.0,7.0,11.0,1.0,payday loan,30.0,15.0,4.78,6.0,Good,1384.38,30.181247248221744,369.0,No,10.653353593779311,19.704119466631298,Low_spent_Small_value_payments,221.1399877925085,Standard
19069,2241,8,Wohlu,25.0,239647596.0,Accountant,98917.23,8513.1025,1.0,4.0,1.0,2.0,"payday loan,debt consolidation loan",7.0,3.0,7.92,5.0,Good,738.81,39.58763203849836,188.0,No,115.53132469523212,57.61604420095336,Low_spent_Small_value_payments,345.0275439237656,Good
110675,43896,6,Nick Browns,33.0,624521764.0,Manager,69061.0,5518.083333333332,8.0,6.0,17.0,7.0,"credit-builder loan,credit-builder loan,mortgage loan,auto loan,student loan,mortgage loan,auto loan",25.0,10.0,8.19,7.0,Standard,233.54,39.15314491521117,236.0,Yes,275.74145644477403,68.97068830467478,High_spent_Small_value_payments,401.6219710885647,Standard
48118,42596,5,Moonf,56.0,792915385.0,Architect,35940.94,2718.078333333333,5.0,3.0,11.0,1.0,student loan,6.0,10.0,10.86,0.0,Good,237.26,38.71634275378664,363.0,No,17.8429955246548,50.774979815447786,High_spent_Small_value_payments,333.6961091228696,Good
81415,3619,2,Soyoung Kimg,39.0,825492383.0,Musician,17815.585,1427.6320833333332,8.0,6.0,18.0,1.0,home equity loan,26.0,11.0,14.18,5.0,Standard,982.63,25.73478364399485,365.0,Yes,13.346551788340271,47.07087295911718,Low_spent_Small_value_payments,254.069842895933,Standard
140243,4222,6,Lianaj,14.0,463696790.0,Architect,75095.91,6269.9925,5.0,6.0,15.0,6.0,"personal loan,payday loan,personal loan,student loan,home equity loan,payday loan",9.0,10.0,13.53,8.0,Standard,989.71,38.34372924152653,142.0,Yes,261.8424087127099,69.94058184228379,High_spent_Small_value_payments,215.29309016295468,Standard
18156,44231,7,Andy Brucet,26.0,417245530.0,Lawyer,92428.83,7799.4025,5.0,6.0,17.0,0.0,No Data,11.0,17.0,11.16,5.0,Standard,1396.62,35.31730974252059,314.0,Yes,0.0,78.66388354630625,Low_spent_Medium_value_payments,283.841668206501,Standard
12613,6057,8,Sheldrickr,39.0,34958551.0,Musician,83386.52,7081.876666666668,10.0,6.0,23.0,7.0,"student loan,auto loan,credit-builder loan,credit-builder loan,personal loan,payday loan,payday loan",36.0,24.0,22.3,8.0,Bad,4972.4,40.07920630973157,75.0,Yes,482.17978316483214,126.23380470105032,High_spent_Large_value_payments,339.7740788007843,Standard
140707,2794,2,LaCaprad,20.0,841514536.0,Media_Manager,15508.05,1166.3375,4.0,6.0,10.0,1.0,home equity loan,17.0,12.0,19.31,4.0,Standard,597.13,26.04871251250295,342.0,Yes,6.7501194879651925,13.915962285864737,Low_spent_Large_value_payments,316.9392418401638,Standard
105078,9253,1,Hepherh,24.0,735482138.0,Developer,67204.1,5333.341666666667,0.0,6.0,12.0,2.0,"debt consolidation loan,debt consolidation loan",13.0,4.0,0.78,2.0,Good,1085.23,25.98518747914554,278.0,No,86.31030761486845,64.48887290629222,High_spent_Medium_value_payments,547.2027504856137,Poor
58758,41035,1,en Hirschlerw,30.0,401214779.0,Journalist,135807.12,11446.26,7.0,7.0,12.0,3.0,"student loan,not specified,debt consolidation loan",25.0,19.0,5.1,2.0,Standard,1032.13,28.52293600925901,207.0,Yes,214.3614517900581,151.06167624568258,High_spent_Large_value_payments,908.3708892769332,Standard
81011,34118,6,Frostg,43.0,715489784.0,Journalist,79172.08,6389.673333333332,8.0,4.0,14.0,5.0,"mortgage loan,auto loan,mortgage loan,student loan,not specified",16.0,14.0,17.11,12.0,Standard,2519.19,38.74807413505828,121.0,Yes,170.10676662884887,77.14161300030906,Low_spent_Small_value_payments,312.67531612095866,Poor
75433,12639,8,Vladimird,54.0,940944342.0,Mechanic,41794.32,3347.86,0.0,5.0,7.0,3.0,"home equity loan,payday loan,payday loan",1.0,12.0,3.78,4.0,Good,302.02,27.862279390744447,316.0,No,89.81563465332981,24.622475126640182,Low_spent_Small_value_payments,163.00598504324046,Good
104133,33843,4,Robin Emmotte,17.0,970905703.0,Architect,33890.2,2194.187321103021,8.0,4.0,12.0,2.0,"mortgage loan,auto loan",5.0,18.0,11.12,7.0,Standard,1289.03,36.29563576944759,332.0,Yes,31.98895746876268,90.40607926555732,High_spent_Medium_value_payments,383.32329659901336,Standard
89802,2265,1,Amw,36.0,984951206.0,Media_Manager,24881.15,2304.429166666667,4.0,6.0,19.0,2.0,"debt consolidation loan,student loan",8.0,7.0,17.84,8.0,Standard,931.68,30.75995064779297,213.0,Yes,40.173666849441695,30.407876892172222,High_spent_Medium_value_payments,363.1886065041144,Standard
110458,8112,5,Ingridt,45.0,746292596.0,Engineer,122710.12,10368.843333333332,0.0,6.0,3.0,3.0,"mortgage loan,credit-builder loan,mortgage loan",17.0,12.0,2.74,3.0,Good,1025.92,36.89393527708246,327.0,No,154.9755045243617,125.0866355429858,Low_spent_Medium_value_payments,182.62473704787,Standard
109330,44749,5,Xiaoyid,35.0,267203596.0,Mechanic,171462.56,14270.546666666669,4.0,7.0,10.0,3.0,"credit-builder loan,home equity loan,student loan",14.0,12.0,7.01,6.0,Good,531.58,27.05271289845744,215.0,No,364.822760704787,149.31729536967129,High_spent_Medium_value_payments,785.68984948991,Good
47564,28580,3,Papadimasv,17.0,945981078.0,Manager,20049.97,1462.8308333333334,8.0,5.0,17.0,6.0,"not specified,debt consolidation loan,debt consolidation loan,payday loan,student loan,debt consolidation loan",20.0,15.0,1.75,7.0,Bad,1794.72,31.0911948264262,192.0,Yes,93.3227716993683,0.0,Low_spent_Small_value_payments,282.57989802965824,Poor
73278,2319,1,Gyleso,28.0,250642725.0,Developer,63455.10000000001,5327.925,4.0,6.0,16.0,4.0,"auto loan,credit-builder loan,debt consolidation loan,mortgage loan",25.0,15.0,9.3,0.0,Standard,419.67,24.206677017908174,209.0,Yes,205.60914956417065,64.78812954835087,High_spent_Small_value_payments,312.8261999097371,Standard
130343,46636,6,Mariusq,34.0,893110050.0,Doctor,27880.82,2145.401666666666,4.0,5.0,20.0,4.0,"student loan,debt consolidation loan,not specified,student loan",15.0,11.0,13.01,5.0,Standard,1499.92,33.385593094260585,192.0,Yes,51.06157152731232,33.5089229093392,High_spent_Medium_value_payments,322.696355555887,Standard
16751,13187,6,Diane Bartzv,31.0,407852454.0,Scientist,148990.16,12474.846666666665,3.0,7.0,3.0,3.0,"personal loan,auto loan,credit-builder loan",15.0,7.0,8.65,2.0,Good,407.6,38.37732042962365,352.0,No,267.36596052619416,143.80549790312585,High_spent_Medium_value_payments,882.6694411889745,Good
84670,48725,5,Kimv,32.0,784169686.0,Accountant,16907.7,1212.944230939044,6.0,7.0,24.0,8.0,"credit-builder loan,personal loan,home equity loan,auto loan,personal loan,home equity loan,student loan,mortgage loan",52.0,22.0,24.0,9.0,Bad,2887.41,23.10556295425709,72.0,Yes,82.04425785301001,23.883015820640907,Low_spent_Small_value_payments,244.3504003961462,Standard
47202,6565,1,Rickp,27.0,140531830.0,Doctor,35728.36,3136.363333333333,4.0,4.0,7.0,1.0,credit-builder loan,4.0,16.0,13.03,0.0,Standard,90.37,26.094038250750643,299.0,Yes,28.44768635480066,35.33259648352942,Low_spent_Small_value_payments,226.2261937792149,Standard
76391,29461,6,Browns,43.0,792063719.0,Writer,19337.16,1463.43,5.0,4.0,17.0,1.0,auto loan,7.0,18.0,5.9,5.0,Standard,449.37,38.43227457540928,226.0,Yes,14.608879747473724,22.10850286687723,Low_spent_Small_value_payments,370.3495996332289,Standard
76723,18159,2,Chris Vellacottf,30.0,867022158.0,Accountant,9765.685,579.8070833333333,5.0,7.0,17.0,4.0,"debt consolidation loan,mortgage loan,not specified,mortgage loan",30.0,18.0,10.47,4.0,Standard,989.35,31.31384525433296,327.0,No,25.14704536835644,20.10435282952253,Low_spent_Medium_value_payments,292.72931013545434,Standard
136701,4195,4,Sylvia Westallq,20.0,883388680.0,Architect,128698.76,10628.896666666666,7.0,5.0,10.0,4.0,"personal loan,mortgage loan,payday loan,debt consolidation loan",6.0,20.0,10.67,12.0,Standard,583.11,31.4155704257028,199.0,Yes,251.6127820563614,136.11757303574092,High_spent_Small_value_payments,813.6431579977059,Standard
86984,39865,3,Olivia Oranl,32.0,277646981.0,Entrepreneur,152078.0,12435.166666666664,0.0,3.0,6.0,0.0,No Data,7.0,15.0,2.64,0.0,Good,316.26,24.94566670105999,311.0,No,0.0,101.68798627118072,Low_spent_Medium_value_payments,396.1568666335887,Poor
148990,12229,5,Estelle Shirboni,27.0,113070267.0,Engineer,9360.515,531.0429166666668,8.0,6.0,15.0,5.0,"debt consolidation loan,auto loan,not specified,personal loan,home equity loan",51.0,14.0,11.92,12.0,Standard,2113.29,30.3715791630316,176.0,Yes,21.71699904597517,19.832335016558908,Low_spent_Medium_value_payments,280.64770954165687,Poor
7232,15240,3,Mikex,40.0,944949536.0,Scientist,19065.32,1497.7766666666666,3.0,6.0,5.0,5.0,"not specified,student loan,home equity loan,personal loan,personal loan",23.0,14.0,7.81,4.0,Standard,2008.06,35.93733554823201,201.0,Yes,76.21247400832009,20.96898279881401,High_spent_Medium_value_payments,290.6817744347797,Standard
30862,7196,5,Giancarlo Navachv,45.0,702447038.0,Writer,107626.59,9095.8825,3.0,5.0,11.0,3.0,"personal loan,credit-builder loan,credit-builder loan",28.0,15.0,11.1,8.0,Standard,914.63,33.159583204848474,224.0,Yes,163.80279430012405,139.87469281027532,Low_spent_Medium_value_payments,589.1758438845959,Standard
89334,27909,1,Katee,45.0,429096890.0,Mechanic,84833.62,6875.468333333332,5.0,1.0,8.0,4.0,"auto loan,payday loan,payday loan,home equity loan",4.0,0.0,4.05,2.0,Good,557.38,26.04958665168159,242.0,No,274.9442043933726,47.70831325278164,Low_spent_Medium_value_payments,196.6381230424816,Good
35281,4409,8,Copleyp,32.0,952675462.0,Scientist,94991.82,8144.985,7.0,6.0,13.0,0.0,No Data,18.0,16.0,24.45,6.0,Standard,1320.61,39.28777692805084,317.0,Yes,0.0,61.22828959460878,High_spent_Large_value_payments,948.5166400238722,Standard
87612,2429,7,Markm,35.0,4061187.0,Accountant,8940.905,985.556904437737,7.0,9.0,18.0,6.0,"home equity loan,home equity loan,student loan,not specified,not specified,credit-builder loan",34.0,25.0,16.84,9.0,Bad,2558.29,34.226319745317355,55.0,Yes,40.09764912228525,0.0,Low_spent_Medium_value_payments,269.0878904574808,Poor
143569,6295,8,Hirschlers,34.0,173548322.0,Manager,35497.94,3063.161666666667,6.0,7.0,17.0,2.0,"debt consolidation loan,student loan",28.0,13.0,6.86,9.0,Bad,2284.86,23.347720759400566,81.0,Yes,39.33346977712343,43.096381750521466,Low_spent_Large_value_payments,314.73331410785295,Poor
74638,32792,5,Smitab,52.0,456031565.0,Mechanic,49937.4,3670.800283726882,3.0,3.0,7.0,2.0,"payday loan,not specified",19.0,9.0,19.53,3.0,Standard,1069.53,26.16682069729808,194.0,NM,455.86731448974336,27.38563891568877,Low_spent_Small_value_payments,387.1042636564818,Standard
33582,22389,1,McCranke,47.0,410754980.0,Accountant,16609.095,1488.0912500000004,2.0,3.0,4.0,3.0,"home equity loan,credit-builder loan,student loan",12.0,4.0,8.81,0.0,Good,864.0,35.045338498116124,272.0,No,22.41100577364052,26.70698357942293,Low_spent_Medium_value_payments,252.1295049263603,Good
143891,19117,6,Davidh,37.0,664163753.0,Entrepreneur,16685.02,1536.418333333333,9.0,6.0,22.0,5.0,"credit-builder loan,student loan,not specified,mortgage loan,debt consolidation loan",60.0,18.0,7.17,10.0,Bad,2298.18,29.68107415194509,120.0,Yes,35.188053001297945,65.9123555132158,Low_spent_Small_value_payments,303.9263115758733,Standard
63840,25421,7,Joseph Axo,40.0,23027424.0,Engineer,17594.015,1485.4412227482226,0.0,3.0,11.0,0.0,No Data,3.0,10.0,1.52,0.0,Good,576.75,37.15128349532865,341.0,No,171.72669391844386,23.13031138039834,High_spent_Medium_value_payments,388.21178457252665,Good
10172,46432,3,Laurentv,22.0,221906592.0,Architect,62223.06,5326.255,7.0,4.0,10.0,3.0,"debt consolidation loan,home equity loan,mortgage loan",30.0,10.0,15.85,7.0,Standard,1230.58,21.935707391277408,377.0,Yes,120.3581055797648,74.0671259943914,Low_spent_Small_value_payments,79.76337571728345,Standard
140520,8810,7,Mollenkampt,23.0,817482346.0,Developer,14128.68,884.3900000000001,4.0,4.0,9.0,2.0,"payday loan,student loan",6.0,18.0,14.32,4.0,Standard,314.56,39.44456257083476,239.0,Yes,12.076670221913464,18.828309307257047,Low_spent_Small_value_payments,278.9001901314375,Standard
65795,28461,6,Zahariat,48.0,474412078.0,Lawyer,71503.76,5672.6466666666665,3.0,4.0,9.0,3.0,"student loan,home equity loan,credit-builder loan",25.0,16.0,7.37,3.0,Standard,1254.71,25.96874610941135,327.0,Yes,110.85058407203132,69.96553799713205,Low_spent_Medium_value_payments,492.1995832652102,Standard
27630,46551,1,Julien Toyerq,22.0,372316244.0,Lawyer,58053.27,4795.7725,6.0,8.0,28.0,7.0,"mortgage loan,mortgage loan,personal loan,credit-builder loan,student loan,debt consolidation loan,auto loan",21.0,22.0,28.49,9.0,Bad,3771.12,24.16008990210436,72.0,Yes,238.05753012785647,92.66160051169128,High_spent_Medium_value_payments,355.8775289120482,Standard
70291,7001,2,Alinay,18.0,491457607.0,Media_Manager,15400.91,1206.4091666666666,6.0,5.0,13.0,4.0,"student loan,auto loan,personal loan,mortgage loan",5.0,19.0,16.22,6.0,Standard,854.43,34.457815116092576,215.0,Yes,37.176454957234135,14.64827817630472,Low_spent_Medium_value_payments,250.61099062470817,Standard
111901,26045,8,David Jonesk,29.0,616130619.0,Accountant,14395.83,1027.6525,7.0,7.0,28.0,7.0,"home equity loan,payday loan,debt consolidation loan,mortgage loan,mortgage loan,mortgage loan,home equity loan",28.0,16.0,24.17,14.0,Bad,2841.0,25.396864295357453,32.0,Yes,74.79538225778528,31.94773818431347,Low_spent_Small_value_payments,280.3486575718252,Poor
102417,27411,4,David Joneso,20.0,766636764.0,Scientist,11949.505,774.7920833333333,6.0,6.0,18.0,2.0,"personal loan,debt consolidation loan",20.0,10.0,14.32,3.0,Standard,664.23,32.77808896231576,295.0,Yes,19.88405275701032,18.037254792472407,High_spent_Small_value_payments,299.55790078385064,Standard
25585,48553,8,Rickl,20.0,216652934.0,Media_Manager,68845.08,5570.09,10.0,7.0,20.0,6.0,"personal loan,student loan,home equity loan,home equity loan,not specified,auto loan",28.0,20.0,2.7,11.0,Bad,1498.12,39.29107876325297,189.0,Yes,300.2551350813974,46.07901511241481,High_spent_Large_value_payments,442.316384798833,Poor
39115,26123,2,Karolina Tagarisw,20.0,712127095.0,Accountant,118875.69,9939.3075,0.0,4.0,12.0,2.0,"not specified,auto loan",10.0,5.0,9.5,0.0,Good,374.28,36.26992506672288,375.0,No,99.33992627175422,69.12083911572803,High_spent_Large_value_payments,1065.4699846125177,Good
150635,28661,6,Lucia Mutikaniu,35.0,699570597.0,Entrepreneur,43856.38,3870.698333333333,2.0,5.0,6.0,0.0,No Data,1.0,12.0,8.69,1.0,Good,975.82,28.471779354407268,190.0,NM,0.0,81.23748687233034,High_spent_Small_value_payments,442.01101243222615,Good
6864,46765,7,Jamiec,24.0,584604961.0,Lawyer,61008.0,5235.0,10.0,5.0,32.0,4.0,"auto loan,auto loan,student loan,home equity loan",14.0,19.0,15.44,17.0,Standard,1755.81,25.47367253947206,111.0,Yes,189.4265306646308,73.60092893712022,High_spent_Medium_value_payments,460.4672465885896,Poor
106915,41768,2,Jason Langes,38.0,783163895.0,Accountant,29948.76,2398.73,4.0,3.0,31.0,2.0,"payday loan,payday loan",23.0,18.0,19.96,11.0,Standard,2438.57,28.17324775869493,190.0,Yes,49.1063879341142,26.910130847244496,Low_spent_Small_value_payments,325.0005220071252,Standard
118560,35397,7,Stephent,28.0,296654508.0,Developer,41467.22,3174.601666666667,6.0,10.0,18.0,9.0,"debt consolidation loan,personal loan,payday loan,mortgage loan,mortgage loan,home equity loan,credit-builder loan,not specified,student loan",62.0,21.0,2.29,15.0,Bad,1441.4,35.606451922100895,163.0,Yes,198.3720163350333,82.35588908899534,Low_spent_Small_value_payments,201.58444057597168,Poor
26759,23583,6,Tetsushih,55.0,776096859.0,Architect,58885.7,4656.141666666666,1.0,6.0,2.0,3.0,"debt consolidation loan,home equity loan,student loan",5.0,11.0,0.9,0.0,Good,415.3,39.97322669832561,289.0,No,105.75507950790954,47.9402156542841,High_spent_Medium_value_payments,458.7385480611657,Good
54382,5597,5,Annq,40.0,794513706.0,Architect,13351.83,1256.6525,6.0,3.0,13.0,2.0,"auto loan,payday loan",13.0,14.0,15.48,1.0,Standard,303.84,36.798731719739656,278.0,Yes,13.913944014294458,31.481897595113427,Low_spent_Small_value_payments,323.24635674949707,Standard
115279,29169,2,Seetharamanj,35.0,114050805.0,Lawyer,56952.63,5019.0525,9.0,9.0,27.0,8.0,"student loan,mortgage loan,credit-builder loan,payday loan,auto loan,student loan,auto loan,auto loan",52.0,22.0,22.88,8.0,Bad,2637.08,37.51891571206605,126.0,Yes,323.2734510725717,36.9460947152629,High_spent_Medium_value_payments,225.59098646516463,Standard
78610,12166,5,Edward Tayloru,26.0,974870253.0,Teacher,7569.055,650.7545833333334,6.0,9.0,30.0,2.0,"payday loan,debt consolidation loan",41.0,14.0,1.1800000000000002,11.0,Bad,2691.71,26.49855801013144,151.0,Yes,7.180053892226407,25.02405939434972,Low_spent_Medium_value_payments,276.0795535456609,Poor
141282,27822,1,Bose Lisaa,32.0,862587973.0,Entrepreneur,27339.81,2518.3175,3.0,5.0,9.0,1.0,not specified,16.0,14.0,3.82,2.0,Standard,1342.51,24.63434485198489,279.0,No,14.668753530353376,22.50128568556787,High_spent_Large_value_payments,423.9279223993677,Standard
111705,16869,4,Georgiopouloso,45.0,127494016.0,Lawyer,79241.12,6587.426666666666,7.0,5.0,29.0,8.0,"student loan,personal loan,student loan,not specified,mortgage loan,auto loan,mortgage loan,not specified",42.0,15.0,22.32,10.0,Bad,2978.35,25.707330262815645,170.0,Yes,282.639618203876,54.28548637741811,High_spent_Large_value_payments,452.67327420208335,Standard
153847,33419,2,N.j,37.0,329286277.0,Developer,73778.52,6146.21,4.0,5.0,14.0,4.0,"home equity loan,auto loan,credit-builder loan,not specified",26.0,20.0,13.75,5.0,Standard,179.15,31.27120329352233,290.0,Yes,233.2360964424541,90.64250725255886,Low_spent_Medium_value_payments,422.5079782666895,Standard
112222,29364,5,Johnsona,19.0,1640430.0,Accountant,8934.615,617.55125,8.0,9.0,18.0,7.0,"credit-builder loan,auto loan,payday loan,auto loan,personal loan,not specified,mortgage loan",17.0,17.0,22.52,12.0,Bad,3991.35,37.29295343538935,133.0,Yes,36.42992635311951,11.59609299698679,Low_spent_Small_value_payments,279.4938178664851,Poor
